left;top;width;height;transcription
[596, 230, 229, 596];[532, 521, 539, 549];-1;-1;VÁLIDA EM TODO O TERRITÓRIO NACIONAL
545;498;135;18;73.663.430-7
[748, 682, 683, 751];[502, 500, 512, 513];-1;-1;REGISTRO
[749, 704, 705, 750];[487, 485, 497, 498];-1;-1;GERAL
[751, 708, 708, 751];[457, 456, 467, 468];-1;-1;NOME
435;431;326;20;MELFI LORENZETI XIELI
[752, 690, 690, 753];[389, 389, 403, 402];-1;-1;FILIAÇÃO
391;363;372;21;ANTIQUEIRA SAIGO BOGGI
436;333;328;19;MAGATON HUEI ODNICK
577;268;188;18;ITAPEMIRIM-ES
[755, 648, 648, 755];[303, 300, 288, 291];-1;-1;NATURALIDADE
[756, 665, 666, 758];[225, 223, 236, 236];-1;-1;DOC ORIGEM
674;200;93;22;IEPÊ-SP
564;165;163;19;606.867.867-93
[758, 731, 731, 759];[155, 156, 167, 167];-1;-1;CPF
699;101;68;18;NH 13
[519, 331, 329, 520];[64, 59, 75, 78];-1;-1;LEI Nº7 116 DE 29/08/83
357;113;225;14;SEGURADO BRAGA OKI
[518, 344, 345, 519];[94, 89, 102, 106];-1;-1;ASSINATURA DO DIRETOR
155;89;55;16;9 VIA
171;258;114;21;25/09/1988
[257, 105, 105, 258];[290, 285, 272, 276];-1;-1;DATA DE NASCIMENTO
163;487;116;18;24/02/1958
[360, 303, 303, 361];[504, 502, 490, 492];-1;-1;DATA DE
[360, 283, 282, 361];[475, 473, 488, 489];-1;-1;EXPEDIÇÃO
356;229;309;19;C.NAS=97 LV=437 FL=299
